zone,hour,ev_count,demand,recommendation
A,0.0,167.0,104.0,OFF-PEAK
A,1.0,165.0,111.0,OFF-PEAK
A,2.0,179.0,94.0,OFF-PEAK
A,3.0,187.0,95.0,OFF-PEAK
A,4.0,186.0,79.0,OFF-PEAK
A,5.0,188.0,52.0,OFF-PEAK
A,6.0,175.0,114.0,OFF-PEAK
A,7.0,167.0,56.0,OFF-PEAK
A,8.0,149.0,170.0,PEAK
A,9.0,170.0,163.0,PEAK
A,10.0,186.0,138.0,OFF-PEAK
A,11.0,194.0,166.0,PEAK
A,12.0,178.0,62.0,OFF-PEAK
A,13.0,194.0,97.0,OFF-PEAK
A,14.0,183.0,117.0,OFF-PEAK
A,15.0,181.0,67.0,OFF-PEAK
A,16.0,152.0,60.0,OFF-PEAK
A,17.0,181.0,281.0,PEAK
A,18.0,166.0,267.0,PEAK
A,19.0,153.0,340.0,PEAK
A,20.0,152.0,283.0,PEAK
A,21.0,141.0,354.0,PEAK
A,22.0,147.0,102.0,OFF-PEAK
A,23.0,145.0,61.0,OFF-PEAK
B,0.0,237.0,97.0,OFF-PEAK
B,1.0,202.0,52.0,OFF-PEAK
B,2.0,243.0,116.0,OFF-PEAK
B,3.0,197.0,50.0,OFF-PEAK
B,4.0,205.0,50.0,OFF-PEAK
B,5.0,197.0,97.0,OFF-PEAK
B,6.0,222.0,61.0,OFF-PEAK
B,7.0,220.0,99.0,OFF-PEAK
B,8.0,231.0,196.0,PEAK
B,9.0,238.0,151.0,PEAK
B,10.0,230.0,175.0,PEAK
B,11.0,220.0,152.0,PEAK
B,12.0,248.0,111.0,OFF-PEAK
B,13.0,231.0,110.0,OFF-PEAK
B,14.0,246.0,78.0,OFF-PEAK
B,15.0,218.0,105.0,OFF-PEAK
B,16.0,217.0,94.0,OFF-PEAK
B,17.0,237.0,352.0,PEAK
B,18.0,251.0,357.0,PEAK
B,19.0,236.0,273.0,PEAK
B,20.0,204.0,342.0,PEAK
B,21.0,233.0,388.0,PEAK
B,22.0,206.0,89.0,OFF-PEAK
B,23.0,226.0,57.0,OFF-PEAK
C,0.0,266.0,107.0,OFF-PEAK
C,1.0,247.0,62.0,OFF-PEAK
C,2.0,250.0,99.0,OFF-PEAK
C,3.0,230.0,81.0,OFF-PEAK
C,4.0,266.0,51.0,OFF-PEAK
C,5.0,226.0,110.0,OFF-PEAK
C,6.0,221.0,93.0,OFF-PEAK
C,7.0,269.0,62.0,OFF-PEAK
C,8.0,221.0,168.0,PEAK
C,9.0,229.0,166.0,PEAK
C,10.0,246.0,126.0,OFF-PEAK
C,11.0,222.0,158.0,PEAK
C,12.0,220.0,89.0,OFF-PEAK
C,13.0,239.0,71.0,OFF-PEAK
C,14.0,238.0,98.0,OFF-PEAK
C,15.0,267.0,97.0,OFF-PEAK
C,16.0,255.0,94.0,OFF-PEAK
C,17.0,211.0,271.0,PEAK
C,18.0,241.0,251.0,PEAK
C,19.0,231.0,259.0,PEAK
C,20.0,221.0,274.0,PEAK
C,21.0,245.0,273.0,PEAK
C,22.0,213.0,69.0,OFF-PEAK
C,23.0,253.0,52.0,OFF-PEAK
D,0.0,170.0,113.0,OFF-PEAK
D,1.0,177.0,74.0,OFF-PEAK
D,2.0,181.0,72.0,OFF-PEAK
D,3.0,157.0,94.0,OFF-PEAK
D,4.0,185.0,117.0,OFF-PEAK
D,5.0,156.0,58.0,OFF-PEAK
D,6.0,167.0,105.0,OFF-PEAK
D,7.0,180.0,114.0,OFF-PEAK
D,8.0,167.0,132.0,OFF-PEAK
D,9.0,171.0,152.0,PEAK
D,10.0,132.0,194.0,PEAK
D,11.0,156.0,141.0,OFF-PEAK
D,12.0,145.0,67.0,OFF-PEAK
D,13.0,151.0,52.0,OFF-PEAK
D,14.0,145.0,87.0,OFF-PEAK
D,15.0,160.0,111.0,OFF-PEAK
D,16.0,175.0,108.0,OFF-PEAK
D,17.0,147.0,254.0,PEAK
D,18.0,138.0,332.0,PEAK
D,19.0,154.0,352.0,PEAK
D,20.0,172.0,308.0,PEAK
D,21.0,184.0,261.0,PEAK
D,22.0,184.0,63.0,OFF-PEAK
D,23.0,176.0,100.0,OFF-PEAK
E,0.0,200.0,119.0,OFF-PEAK
E,1.0,203.0,65.0,OFF-PEAK
E,2.0,191.0,80.0,OFF-PEAK
E,3.0,186.0,70.0,OFF-PEAK
E,4.0,198.0,61.0,OFF-PEAK
E,5.0,227.0,51.0,OFF-PEAK
E,6.0,188.0,82.0,OFF-PEAK
E,7.0,193.0,86.0,OFF-PEAK
E,8.0,223.0,173.0,PEAK
E,9.0,200.0,170.0,PEAK
E,10.0,178.0,155.0,PEAK
E,11.0,177.0,150.0,PEAK
E,12.0,196.0,52.0,OFF-PEAK
E,13.0,204.0,79.0,OFF-PEAK
E,14.0,215.0,89.0,OFF-PEAK
E,15.0,215.0,96.0,OFF-PEAK
E,16.0,177.0,68.0,OFF-PEAK
