zone,population,stations,lat,lon,ev_density
A,5000.0,2.0,12.97,77.59,250.0
B,8000.0,1.0,12.98,77.6,400.0
C,3000.0,0.0,12.96,77.58,150.0
D,10000.0,3.0,12.99,77.61,500.0
E,6000.0,1.0,12.95,77.57,300.0
A,5037.804561327969,2.02198272978302,13.146022657010526,78.28395267528046,249.8761871642116
B,8121.451662982274,1.0202115999770505,12.95764539598267,75.28467928165429,394.2422557278666
C,3059.3602493798758,0.0,13.044869741107972,78.92567505007216,146.99142689048688
D,10083.548180769378,3.082256781552595,13.602691379811915,75.93030181923426,507.4035737530716
E,5972.251449592303,0.9791338548575572,12.293401224389962,78.12705472469388,304.3746063433808
A,5012.794014453672,2.024885184320836,13.14177135245741,75.68780386587086,249.7475385885811
B,8082.636225167301,0.9974822427544312,13.062260668039745,75.3890834695956,405.7513275538618
C,3052.38381450973,0.0,13.037538189966265,79.24364460563662,150.60188551546722
D,9929.735827966266,3.0292589615513448,13.039609011166329,78.52198023153151,507.093444002566
E,6024.843744235651,0.9894410888646128,13.025804117070937,78.79532953803789,298.3533162658753
A,4870.354412231158,2.069989210004211,12.980689776656952,77.38751447622153,248.22716861705996
B,7787.547962549558,1.0164263562029316,12.832457440368566,75.88912616351888,398.8487773171056
C,3034.152454941232,0.0,12.84123326259443,78.96107220958297,147.6555747043078
D,9873.214911582072,2.912854371302911,12.765604566552057,75.12482225604377,506.2722402462248
E,6056.125472947054,0.9904979924276212,12.919361813073271,76.50326846319709,297.31854435443137
A,4926.266223210313,1.916420439181966,12.925635218783516,75.97372474299543,251.65342020056983
B,8067.756707586197,0.9903870056645282,12.929851603065895,77.46814256378529,405.51611105474814
C,3079.6759780847096,0.0,12.767107481559508,78.90507118478939,154.07275777771312
D,9819.499021433536,2.9941142476291693,12.54825299011087,78.24947944610699,492.1973950859049
E,6048.080696087972,1.0146207573407178,13.216827751827026,75.42777338717856,288.13318231524937
A,5020.209655480987,1.9877308536278924,13.224937713471688,77.48670148809241,257.5731302886186
B,8248.31463891727,0.9980929036846518,12.822149680891403,79.64623473935991,391.6952274935445
C,3012.956235829609,0.0,12.901476923244918,79.04177751985824,148.59938119902566
D,10116.899819073422,2.970908567452965,13.102211308002,78.72052601501183,479.1453153832569
E,6000.998050756007,1.0236368921654018,12.96666069208434,77.78837879880321,301.6492847619894
A,4954.806983661687,2.0161638795995613,12.7853421688723,74.63478425266158,248.41788764694564
B,8057.72690843898,0.9828654979375248,13.071905757711672,76.31622185036069,393.7891444462856
C,2937.2519645289526,0.0,13.284572380397638,76.48910826375531,153.326152542859
D,9923.733277035031,2.970905619870273,12.932319622023064,79.68926160523714,496.84502754614726
E,6186.394510140515,1.0189044723530547,12.913882896154162,77.31432970926798,304.32618898187417
A,4895.3685246358045,1.972904220015756,13.225930751002778,76.63550816899422,240.13303772340555
