zone,avg_demand,high_demand
A,143.04166666666666,False
B,152.16666666666666,False
C,132.54166666666666,False
D,144.20833333333334,False
E,142.83333333333334,False
A,142.47927609996572,False
B,150.1011476078503,False
C,129.78000711366383,False
D,142.3517645815642,False
E,153.1732747221149,False
A,160.18388829741698,False
B,149.98009360945167,False
C,132.43564946011853,False
D,134.2932929657015,False
E,147.19394566808236,False
A,125.82490992697197,False
B,144.97994404346167,False
C,135.57209700044464,False
D,143.3923717409427,False
E,143.58573765498866,False
A,141.22291192843886,False
B,139.86998797524748,False
C,141.99803686700952,False
D,140.52283493938197,False
E,147.58923708261597,False
A,136.48002925274258,False
B,143.85931768263146,False
C,131.5122684163049,False
D,152.34489563435474,False
E,141.0442646574489,False
A,142.02854471780716,False
B,149.1660430385943,False
C,124.71433895804218,False
D,144.83919460423238,False
E,146.8740410304068,False
A,138.60069918911185,False
B,163.75037903782695,False
C,138.33419344631434,False
D,146.06113659490842,False
E,132.11223581525127,False
A,143.30830991115104,False
B,153.4659126594632,False
C,128.69279416412337,False
D,139.7786593285227,False
E,145.53555959490063,False
A,140.22897301763535,False
B,158.15161940671493,False
C,129.27681393668226,False
D,150.94756132393653,False
E,158.02229287233794,False
A,145.33133781431482,False
B,159.80915988766472,False
C,117.76473584123644,False
D,137.07305547332444,False
E,144.9273122049477,False
A,136.1807417773424,False
B,154.77278802663986,False
C,135.7298907601391,False
D,137.03185817314628,False
E,137.06360378106567,False
A,134.71555880702013,False
B,153.15201209806492,False
C,136.45965643976814,False
D,141.42225502060532,False
E,141.13824798040537,False
A,135.48062356395457,False
B,166.99238160089362,False
C,126.75716840946806,False
D,133.72032534992158,False
E,141.97119021926088,False
A,140.89147135532815,False
B,147.93902792058023,False
C,146.41098293984237,False
D,139.21739237034117,False
E,148.27711962946978,False
A,132.70068090325083,False
B,145.50637636674895,False
C,136.0407237739232,False
D,146.77982208473526,False
E,132.4786639388416,False
A,152.92039665245653,False
B,154.49227934377222,False
C,135.48244618939347,False
D,159.3532442165174,False
E,151.23681192132227,False
A,143.89196920278718,False
B,156.59096315989484,False
C,132.4153185437687,False
D,157.15455169429399,False
E,137.38782296268252,False
A,136.84728074178994,False
B,164.37796923053443,False
C,129.2171570960179,False
D,137.6967773236274,False
E,132.9752023156335,False
A,137.87803943265016,False
B,149.20024847168548,False
C,133.92076934887643,False
D,128.75607788240583,False
E,143.66649131309867,False
A,142.56792726760156,False
B,152.5900066573647,False
C,112.79245653918919,False
D,141.29102751178002,False
E,128.86618232660018,False
A,141.36884386802944,False
B,155.3306817626212,False
C,141.09903410650278,False
D,159.51646398403136,False
E,138.71335789204872,False
A,147.33889559426905,False
B,149.0027039771481,False
C,128.12553871021086,False
D,148.0296209797236,False
E,131.02772348148136,False
A,149.1659209672141,False
B,138.90394480383597,False
C,123.37561050070411,False
D,131.23558512573914,False
E,141.87639768306875,False
A,141.10517427480687,False
B,154.27217604429327,False
C,124.5013385519296,False
D,142.78633812783795,False
E,144.4518783526878,False
A,138.13429684574524,False
B,149.26305059876913,False
C,147.24742752177622,False
D,150.4116993000881,False
E,134.94049489516078,False
A,152.03005462370402,False
B,137.45496970939706,False
C,124.62744726693829,False
D,143.4656018008044,False
E,143.55211011229284,False
A,148.1153150173445,False
B,148.66584822790816,False
C,129.17446283029415,False
D,152.04389516983832,False
E,154.50030759230665,False
A,145.08881716047804,False
B,154.87831524827962,False
C,136.34684250117897,False
D,149.93535188221043,False
E,136.2128673972956,False
A,141.39493083461645,False
B,156.89785528189987,False
C,129.99898628199077,False
D,141.5243280716002,False
E,145.28431281358925,False
A,137.3819332728673,False
B,144.5326152311468,False
C,135.36872512920382,False
D,134.3181514139277,False
E,136.39855240535286,False
A,133.90097532193568,False
B,142.70846204524395,False
C,126.73436202128178,False
D,140.19942775060062,False
E,142.8631780223232,False
A,154.71232220058795,False
B,165.25358768924238,False
C,133.77686411522862,False
D,152.9158973568685,False
E,144.61607121024105,False
A,148.17693448884356,False
B,156.60074769084028,False
C,122.49219022677259,False
D,142.33850893453462,False
E,139.17842960279748,False
A,145.61949619925286,False
B,161.8149387891807,False
C,129.3559246404095,False
D,151.53560198752723,False
E,148.10253217926257,False
A,137.05568325168971,False
B,144.17920718842447,False
C,121.03231734270248,False
D,154.2317823299301,False
E,152.58689491558118,False
A,139.21986154752378,False
B,131.52963067534574,False
C,130.70930767364175,False
D,138.59548979431028,False
E,148.70495292536657,False
A,143.22993081987792,False
B,154.77399068446292,False
C,122.51222065500032,False
D,134.70635458290187,False
E,135.6432331688233,False
A,141.21628136541355,False
B,165.3070494403407,False
C,134.81691429108574,False
D,148.25455228781593,False
E,154.71111141857298,False
A,135.93912683103886,False
B,149.29966556534438,False
C,138.34480857510954,False
D,151.66133841620646,False
E,137.1786718429275,False
A,146.89616750137978,False
B,160.82021168757478,False
C,136.93674815398248,False
D,132.38864249957578,False
E,135.2540229154143,False
A,145.44316283144585,False
B,145.88116598168693,False
C,135.7199709289312,False
D,135.68605771506324,False
E,137.33646868358454,False
A,148.42625590319386,False
B,146.96788280576024,False
